method,score,Q1_mean,Q2_mean,Q3_mean,Q4_mean,Q1_n,Q4_n,mwu_U,mwu_p,direction,spearman_rho_vs_margin,spearman_p
cnn_ensemble,U_aleatoric,0.4613356819903158,0.3407495732588524,0.14041325534093965,0.027079667625379573,396,396,154512.0,1.465228964228382e-123,Q1 > Q4,-0.7746862726955048,3.3355716e-317
cnn_ensemble,U_epistemic,0.2245390666266574,0.14925204763391656,0.04381737652917565,0.005111278325453939,396,396,153537.0,1.8247942451033955e-120,Q1 > Q4,-0.7467770577016174,1.6203887678072262e-282
cnn_mc_dropout,U_aleatoric,0.43651808527147756,0.34655395136183925,0.1599886607052992,0.05990469300878899,396,396,147496.0,3.572760892855163e-102,Q1 > Q4,-0.660948015905379,1.6749870976327597e-199
cnn_mc_dropout,U_epistemic,0.10915600278237222,0.08737090067904199,0.036506721845503985,0.010614972488113064,396,396,146046.0,5.204518887045085e-98,Q1 > Q4,-0.6315893314480165,4.419547295431942e-177
conv_epinet,U_aleatoric,0.7116479586170177,0.4020733373484226,0.18185385508519228,0.07740382770208092,396,396,156816.0,4.936640604940433e-131,Q1 > Q4,-0.9522423714188745,0.0
conv_epinet,U_epistemic,0.15915053497736498,0.08751365877488022,0.037049542249102715,0.008931795335780411,396,396,156320.0,2.093386164375923e-129,Q1 > Q4,-0.837906838614118,0.0
ensemble_k3,U_aleatoric,0.8045371454020943,0.3785234465818815,0.1256304153551658,0.053754272917755926,396,396,156816.0,4.936569745663342e-131,Q1 > Q4,-0.9860002710832942,0.0
ensemble_k3,U_epistemic,0.019896738095933807,0.010267859133016878,0.0009663143294425687,4.2507184363664334e-05,396,396,156532.0,4.231543864530553e-130,Q1 > Q4,-0.857653778464719,0.0
ensemble_k5,U_aleatoric,0.7971253733743321,0.3683098975681897,0.12124784218354358,0.053326504812999206,396,396,156816.0,4.936569745663342e-131,Q1 > Q4,-0.9860962597781322,0.0
ensemble_k5,U_epistemic,0.027503413014023356,0.011911129105551435,0.0011285292619176187,7.288983500424218e-05,396,396,156789.0,6.057218336136776e-131,Q1 > Q4,-0.9142292555742073,0.0
evidential,U_aleatoric,0.8785382603304555,0.6665846855953487,0.5286655702976265,0.49053633190465695,396,396,156816.0,4.93642803013993e-131,Q1 > Q4,-0.9096704123537037,0.0
evidential,vacuity,0.6006788695701445,0.3663341048164199,0.2388576581472098,0.21132515946572475,396,396,156816.0,4.936498887396886e-131,Q1 > Q4,-0.9136809452621046,0.0
laplace,U_aleatoric,0.7988798816246215,0.40783505010032894,0.19338081355648812,0.10239444410597737,396,396,156816.0,4.936640604940433e-131,Q1 > Q4,-0.9726579913903931,0.0
laplace,U_epistemic,0.059298968626976464,0.05204517914998261,0.04645563185807656,0.028137683774335214,396,396,133473.0,1.355161956367608e-65,Q1 > Q4,-0.4881859350433417,1.2371318464522061e-95
mc_dropout,U_aleatoric,0.7260397500311485,0.5406223763382495,0.25020694098614077,0.06676006013282919,396,396,156815.0,4.974196646571229e-131,Q1 > Q4,-0.8858302893170522,0.0
mc_dropout,U_epistemic,0.04880445996226475,0.037857406033097715,0.025016298899609272,0.001027191858455129,396,396,155891.0,5.249668631354118e-128,Q1 > Q4,-0.7148298858366573,5.057321848585065e-248
rf,U_aleatoric,0.7339229270665333,0.6576131195432008,0.49499327612269406,0.22611009224666037,396,396,154787.0,1.930543529709427e-124,Q1 > Q4,-0.8062977297706718,0.0
rf,U_epistemic,0.17320946895639705,0.16687164472585375,0.14837592612538072,0.11008028219914948,396,396,125656.0,9.048929847782442e-49,Q1 > Q4,-0.44295479933166826,4.19793143554506e-77
