method,score,Q1_mean,Q2_mean,Q3_mean,Q4_mean,mwu_U,mwu_p
cnn_ensemble,var_U_aleatoric,0.3983983708253939,0.28431597050817947,0.10648867679054731,0.01660198051559296,154439.0,2.50630591726079e-123
cnn_ensemble,var_U_epistemic,0.23193242617310778,0.14499941908850372,0.031443164353070464,0.0023947504118083923,154188.0,1.580928136178006e-122
cnn_mc_dropout,var_U_aleatoric,0.3746856199671524,0.2922376019871099,0.12324570482566882,0.041183375556149045,147509.0,3.2755140321397208e-102
cnn_mc_dropout,var_U_epistemic,0.10519458922368413,0.08008862891163208,0.027287706219704132,0.004867476836275354,147006.0,9.327676565536024e-101
ensemble_k3,var_U_aleatoric,0.7530441756426084,0.28514170040837444,0.06964819839769842,0.024357476210541497,156816.0,4.936569745663342e-131
ensemble_k3,var_U_epistemic,0.02198238668170969,0.007093107441539298,0.00020544711378827344,1.958135556578865e-06,156808.0,5.24512233100095e-131
ensemble_k5,var_U_aleatoric,0.7446917750769191,0.27667106654156337,0.06661126685488705,0.024149401165131066,156816.0,4.936569745663342e-131
ensemble_k5,var_U_epistemic,0.030807892953761795,0.007625169853184556,0.00019974121365689372,3.445743933254293e-06,156816.0,4.936569745663342e-131
laplace,var_U_aleatoric,0.7475503557408699,0.3243359434183198,0.13613952104604304,0.06571996598645594,156816.0,4.936640604940433e-131
laplace,var_U_epistemic,0.0672367807298974,0.03195492907032145,0.018486666297328404,0.006789354453050894,155169.0,1.1421471157551543e-125
rf,var_U_aleatoric,0.6852080646638918,0.6043687409373245,0.440341749350832,0.19210901528578064,154702.0,3.61482465263007e-124
rf,var_U_epistemic,0.1923695719151786,0.16974068245841095,0.11955093432010876,0.06283003648459638,142846.0,3.9212820252744794e-89
