,species,genus,family,order,class,phylum,kingdom,superkingdom
0,1000373,1299297,1299296,2732540,2732458,2732405,2732396,10239
1,100225,1184606,85018,85006,1760,201174,0,2
2,1002689,1742983,204434,204433,204432,57723,0,2
3,1003891,1914293,675068,675063,2732461,2732406,2732396,10239
4,1005039,1005038,1663426,1663425,1663419,67819,0,2
5,1005962,461281,1156497,4892,4891,4890,4751,2759
6,1006,869806,2762301,768507,768503,976,0,2
7,1006576,1511648,1643949,1643947,188708,200918,0,2
8,100716,100715,2968741,191411,191410,1090,0,2
9,1008,1007,89374,1936988,1937959,976,0,2
10,100886,135858,2810280,526525,526524,1239,0,2
11,100887,12291,675071,2732544,2732461,2732406,2732396,10239
12,101192,101191,2206,94695,224756,28890,0,2157
13,101385,153265,49546,200644,117743,976,0,2
14,1014,1013,2762318,200644,117743,976,0,2
15,101534,203804,543,91347,1236,1224,0,2
16,1018,1016,49546,200644,117743,976,0,2
17,102116,102115,1890498,52604,3028117,1117,0,2
18,102134,2867376,2867375,186802,186801,1239,0,2
19,10261,10260,10240,2732527,2732525,2732007,2732005,10239
20,1027273,305899,2066474,135619,1236,1224,0,2
21,10273,10270,10240,2732527,2732525,2732007,2732005,10239
22,10276,10275,10240,2732527,2732525,2732007,2732005,10239
23,10279,10278,10240,2732527,2732525,2732007,2732005,10239
24,1031538,75687,135620,135619,1236,1224,0,2
25,1032474,1298634,324686,0,0,0,0,10239
26,1032623,1249016,712,135625,1236,1224,0,2
27,1033854,106633,72276,135613,1236,1224,0,2
28,1034377,1884454,1513294,11157,2497574,2497569,2732396,10239
29,103731,2071,2070,85010,1760,201174,0,2
30,103816,1827,85025,85007,1760,201174,0,2
31,104,68288,563798,768507,768503,976,0,2
32,10406,10405,10404,2732515,2732514,2732409,2732397,10239
33,104580,208294,2946186,2732541,2732459,2732405,2732396,10239
34,1047171,1047167,93133,2726947,147541,4890,4751,2759
35,1048396,1209988,1963271,1644055,183963,28890,0,2157
36,10484,2948762,2946196,0,0,0,0,10239
37,1048434,2169649,39729,2732550,2732507,2732408,2732396,10239
38,1048758,1048757,543,91347,1236,1224,0,2
39,1049,85072,1046,135613,1236,1224,0,2
40,104955,2742598,33958,186826,91061,1239,0,2
41,10497,39743,137992,2732526,2732525,2732007,2732005,10239
42,1050,85073,1046,135613,1236,1224,0,2
43,10506,181083,10501,2732524,2732523,2732007,2732005,10239
44,105219,48736,119060,80840,28216,1224,0,2
45,1053,85108,72276,135613,1236,1224,0,2
46,1055104,204286,28256,135619,1236,1224,0,2
47,105560,316612,2975441,80840,28216,1224,0,2
48,10561,333921,151340,2732533,2732421,2732415,2732092,10239
49,10564,325454,151340,2732533,2732421,2732415,2732092,10239
50,10567,325456,151340,2732533,2732421,2732415,2732092,10239
51,1056807,212742,481,206351,28216,1224,0,2
52,1056831,2948788,0,0,2731619,2731618,2731360,10239
53,10570,333750,151340,2732533,2732421,2732415,2732092,10239
54,106,105,2896860,768507,768503,976,0,2
55,1061,1060,31989,204455,28211,1224,0,2
56,10623,325457,151340,2732533,2732421,2732415,2732092,10239
57,106284,1623298,0,0,2731619,2731618,2731360,10239
58,1063,1653176,31989,204455,28211,1224,0,2
59,106370,1854,74712,85013,1760,201174,0,2
60,106592,106591,82115,356,28211,1224,0,2
61,10661,10660,10659,2732560,2732529,2732008,2732005,10239
62,10665,10663,2946170,0,2731619,2731618,2731360,10239
63,10677,186777,0,0,2731619,2731618,2731360,10239
64,10678,186789,0,0,2731619,2731618,2731360,10239
65,10679,140410,2946167,0,2731619,2731618,2731360,10239
66,10683,2843463,0,0,2731619,2731618,2731360,10239
67,10685,1857845,2560065,0,2731619,2731618,2731360,10239
68,1069,1068,45401,356,28211,1224,0,2
69,10690,1196844,2946167,0,2731619,2731618,2731360,10239
70,1069220,2126281,1762,85007,1760,201174,0,2
71,1069378,1987146,0,0,2731619,2731618,2731360,10239
72,1070130,1906661,543,91347,1236,1224,0,2
73,10708,1623286,0,0,2731619,2731618,2731360,10239
74,10710,186765,0,0,2731619,2731618,2731360,10239
75,10726,187218,2731690,0,2731619,2731618,2731360,10239
76,1073767,2842816,2731691,0,2731619,2731618,2731360,10239
77,1073996,1450140,1963271,1644055,183963,28890,0,2157
