species,genus,family,order,class,phylum,kingdom,superkingdom,species_str,has_sequence,split
100225,1184606,85018,85006,1760,201174,0,2,100225,True,train
1002689,1742983,204434,204433,204432,57723,0,2,1002689,True,id_novel_genus
1005039,1005038,1663426,1663425,1663419,67819,0,2,1005039,True,train
1006,869806,2762301,768507,768503,976,0,2,1006,True,ood_novel_family
1006576,1511648,1643949,1643947,188708,200918,0,2,1006576,True,train
100716,100715,2968741,191411,191410,1090,0,2,100716,True,train
1008,1007,89374,1936988,1937959,976,0,2,1008,True,train
100886,135858,2810280,526525,526524,1239,0,2,100886,True,ood_novel_family
101385,153265,49546,200644,117743,976,0,2,101385,True,ood_novel_family
1014,1013,2762318,200644,117743,976,0,2,1014,True,train
101534,203804,543,91347,1236,1224,0,2,101534,True,id_novel_genus
1018,1016,49546,200644,117743,976,0,2,1018,True,ood_novel_family
102116,102115,1890498,52604,3028117,1117,0,2,102116,True,train
102134,2867376,2867375,186802,186801,1239,0,2,102134,True,ood_novel_family
1027273,305899,2066474,135619,1236,1224,0,2,1027273,True,train
1031538,75687,135620,135619,1236,1224,0,2,1031538,True,train
1032623,1249016,712,135625,1236,1224,0,2,1032623,True,id_novel_genus
1033854,106633,72276,135613,1236,1224,0,2,1033854,True,train
103731,2071,2070,85010,1760,201174,0,2,103731,True,train
103816,1827,85025,85007,1760,201174,0,2,103816,True,id_novel_genus
104,68288,563798,768507,768503,976,0,2,104,True,train
1048758,1048757,543,91347,1236,1224,0,2,1048758,True,train
1049,85072,1046,135613,1236,1224,0,2,1049,True,id_novel_genus
104955,2742598,33958,186826,91061,1239,0,2,104955,True,id_novel_genus
1050,85073,1046,135613,1236,1224,0,2,1050,True,train
105219,48736,119060,80840,28216,1224,0,2,105219,True,id_novel_genus
1053,85108,72276,135613,1236,1224,0,2,1053,True,id_novel_genus
1055104,204286,28256,135619,1236,1224,0,2,1055104,True,train
105560,316612,2975441,80840,28216,1224,0,2,105560,True,ood_novel_family
1056807,212742,481,206351,28216,1224,0,2,1056807,True,train
106,105,2896860,768507,768503,976,0,2,106,True,train
1061,1060,31989,204455,28211,1224,0,2,1061,True,id_novel_genus
1063,1653176,31989,204455,28211,1224,0,2,1063,True,train
106370,1854,74712,85013,1760,201174,0,2,106370,True,train
106592,106591,82115,356,28211,1224,0,2,106592,True,id_novel_genus
1069,1068,45401,356,28211,1224,0,2,1069,True,id_novel_genus
1069220,2126281,1762,85007,1760,201174,0,2,1069220,True,train
1070130,1906661,543,91347,1236,1224,0,2,1070130,True,train
1074467,2767879,33958,186826,91061,1239,0,2,1074467,True,id_novel_genus
1075,2818469,31989,204455,28211,1224,0,2,1075,True,train
1076,1073,41294,356,28211,1224,0,2,1076,True,train
1076124,907364,28056,85008,1760,201174,0,2,1076124,True,train
1076588,1608298,0,0,1236,1224,0,2,1076588,True,id_novel_genus
1076626,1076625,0,0,1236,1224,0,2,1076626,True,train
107709,178440,134623,415000,414999,74201,0,2,107709,True,train
1079,59282,2831090,356,28211,1224,0,2,1079,True,train
1081631,1081630,543,91347,1236,1224,0,2,1081631,True,train
1082704,1082702,1903410,91347,1236,1224,0,2,1082704,True,train
1084,1612157,41295,204441,28211,1224,0,2,1084,True,train
1085624,59740,1853234,768507,768503,976,0,2,1085624,True,train
109266,110103,1892259,1161,3028117,1117,0,2,109266,True,id_novel_genus
109472,109471,712,135625,1236,1224,0,2,109472,True,id_novel_genus
1096,1091,191412,191411,191410,1090,0,2,1096,True,id_novel_genus
1097,256319,191412,191411,191410,1090,0,2,1097,True,train
1100,1099,191412,191411,191410,1090,0,2,1100,True,train
1102,1101,191412,191411,191410,1090,0,2,1102,True,train
110539,1866885,1762,85007,1760,201174,0,2,110539,True,train
1108,1107,1106,32064,32061,200795,0,2,1108,True,train
1108595,535,1499392,206351,28216,1224,0,2,1108595,True,train
1109412,71655,1903410,91347,1236,1224,0,2,1109412,True,train
111015,1654,2049,2037,1760,201174,0,2,111015,True,train
1112,1041,335929,204457,28211,1224,0,2,1112,True,train
111501,111500,49546,200644,117743,976,0,2,111501,True,ood_novel_family
1115758,1501226,186804,186802,186801,1239,0,2,1115758,True,id_novel_genus
1118202,1433995,2762318,200644,117743,976,0,2,1118202,True,train
111831,111830,41295,204441,28211,1224,0,2,111831,True,id_novel_genus
1123043,1382832,1914233,2691355,203683,203682,0,2,1123043,True,id_novel_genus
1124597,162171,1191479,1191478,28211,1224,0,2,1124597,True,train
1125847,1903858,82115,356,28211,1224,0,2,1125847,True,id_novel_genus
1125966,1348505,186824,1385,91061,1239,0,2,1125966,True,train
1126,1125,1890449,1118,3028117,1117,0,2,1126,True,train
1131703,399320,2791015,136,203692,203691,0,2,1131703,True,train
1133546,754249,0,85006,1760,201174,0,2,1133546,True,train
1134405,1134403,1334117,795748,795747,1134404,0,2,1134405,True,train
1134435,33057,2008794,206389,28216,1224,0,2,1134435,True,train
1137095,1203,1182,1161,3028117,1117,0,2,1137095,True,train
1138822,2767893,33958,186826,91061,1239,0,2,1138822,True,train
114186,114185,28256,135619,1236,1224,0,2,114186,True,train
