sequence_id,label,label_name,motif_combo,num_selected_motifs,SP2,ZBED4,EGR1,ELK3,TFDP1,ZNF131,split
train_negative_12705,0,negative,none,0,0,0,0,0,0,0,train
test_negative_8763,0,negative,none,0,0,0,0,0,0,0,train
test_positive_FP007574,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_negative_13771,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP002489,1,positive,SP2+ZBED4+ZNF131,3,1,1,0,0,0,1,train
train_negative_9484,0,negative,ZNF131,1,0,0,0,0,0,1,train
train_negative_10593,0,negative,none,0,0,0,0,0,0,0,train
train_negative_445,0,negative,none,0,0,0,0,0,0,0,train
test_negative_6315,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP004129,1,positive,none,0,0,0,0,0,0,0,train
train_negative_5998,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP012214,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_negative_5894,0,negative,none,0,0,0,0,0,0,0,train
train_negative_1094,0,negative,TFDP1,1,0,0,0,0,1,0,train
train_negative_12285,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP016698,1,positive,none,0,0,0,0,0,0,0,train
train_positive_FP019756,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_positive_FP007735,1,positive,EGR1,1,0,0,1,0,0,0,train
test_positive_FP004341,1,positive,none,0,0,0,0,0,0,0,train
test_positive_FP016196,1,positive,ZBED4,1,0,1,0,0,0,0,train
train_positive_FP008290,1,positive,SP2+ZBED4,2,1,1,0,0,0,0,train
test_negative_2067,0,negative,none,0,0,0,0,0,0,0,train
train_negative_1260,0,negative,none,0,0,0,0,0,0,0,train
train_negative_4072,0,negative,none,0,0,0,0,0,0,0,train
train_negative_5392,0,negative,EGR1,1,0,0,1,0,0,0,train
train_negative_6119,0,negative,none,0,0,0,0,0,0,0,train
