dataset,method,n,accuracy,nll,brier,ece_10bin,ece_15bin,ece_20bin,ece_25bin,ace_15bin_equalmass
aleatoric_boundary,base,1584,0.8794191919191919,0.2900256048389781,0.0887165675227754,0.0298283321464274,0.0298283321464274,0.0322041712175687,0.0330129200763144,0.0271038465381769
aleatoric_boundary,base_scaled,1584,0.8794191919191919,0.2851036951940288,0.0877490047279167,0.0136785536126192,0.0153893749445759,0.0194083530977296,0.0182777845691506,0.0165947790077036
aleatoric_boundary,mc_dropout,1584,0.8592171717171717,0.3250293985581005,0.100947227658034,0.0205609002453737,0.0214195985508181,0.0217480916472887,0.0282494542148144,0.0201507664578002
aleatoric_boundary,conv_epinet,1584,0.8775252525252525,0.2906928307451835,0.0893263889292998,0.0047483748165258,0.0090360482667217,0.0115129935469883,0.0146535488126822,0.0127872088305597
aleatoric_boundary,laplace,1584,0.8781565656565656,0.2923316877758573,0.0894677370543441,0.0129880374854683,0.0146330501904203,0.0159530942808469,0.0135116320107396,0.0197405252848772
aleatoric_boundary,ensemble_k5,1584,0.8813131313131313,0.2832028818134437,0.0870798420388646,0.020542306244215,0.0278390381119582,0.0267672992501082,0.0256244146118484,0.0261680890319723
aleatoric_boundary,ensemble_k3,1584,0.8781565656565656,0.2847356463604537,0.0876562093951436,0.0237352938401918,0.0289134548495922,0.029250618184544,0.0287214925317193,0.0310773865811107
promoter_alisim_dense,base,6400,0.725,0.6575045585632324,0.2020178124863444,0.1567165368143469,0.157850512675941,0.1567165176849812,0.1583365615922958,0.1572143394965678
promoter_alisim_dense,base_scaled,6400,0.725,0.6097452044487,0.1954992086155647,0.1405398968979715,0.1409135051164776,0.1405399074964225,0.1425622952636331,0.1424188321363181
promoter_alisim_dense,mc_dropout,6400,0.6684375,0.8329869738168186,0.2546506060683836,0.2210660082996973,0.2210660082996973,0.2210660082996973,0.2210660082996973,0.2213583699357692
promoter_alisim_dense,conv_epinet,6400,0.72609375,0.5962963677386777,0.1917933312928037,0.1292934342832605,0.1320794939801458,0.1299120337207903,0.1334493878456391,0.1293008620918575
promoter_alisim_dense,laplace,6400,0.726875,0.605844872903826,0.1950682010648146,0.1353620396100446,0.1353620396100445,0.1353620396100446,0.1357974999078955,0.1353620396100446
promoter_alisim_dense,ensemble_k5,6400,0.72609375,0.6555688055072073,0.2029259007688468,0.1559798543668524,0.1597053289334511,0.158968682291025,0.1576403445934062,0.1564149659432045
promoter_alisim_dense,ensemble_k3,6400,0.71578125,0.6667503984803375,0.2072152888090177,0.1665325920994744,0.1665325920994744,0.1665325920994744,0.1665325920994744,0.1672930429541741
