n,accuracy,nll,brier,ece_15bin,dataset,method,stratum
1584,0.8794191919191919,0.29002560483897816,0.08871656752277549,0.029828332146427418,aleatoric_boundary,base,pooled
1584,0.8794191919191919,0.2851036951940288,0.08774900472791675,0.015389374944575988,aleatoric_boundary,base_scaled,pooled
1584,0.8592171717171717,0.3250293985581005,0.10094722765803409,0.021419598550818125,aleatoric_boundary,mc_dropout,pooled
1584,0.8775252525252525,0.2906928307451835,0.0893263889292999,0.009036048266721811,aleatoric_boundary,conv_epinet,pooled
1584,0.8781565656565656,0.2923316877758574,0.08946773705434417,0.014633050190420384,aleatoric_boundary,laplace,pooled
1584,0.8813131313131313,0.2832028818134438,0.08707984203886465,0.02783903811195825,aleatoric_boundary,ensemble_k5,pooled
1584,0.8781565656565656,0.2847356463604536,0.08765620939514361,0.02891345484959227,aleatoric_boundary,ensemble_k3,pooled
6400,0.725,0.6575045585632324,0.20201781248634446,0.15785051267594102,promoter_alisim_dense,base,pooled
6400,0.725,0.6097452044487,0.1954992086155647,0.1409135051164776,promoter_alisim_dense,base_scaled,pooled
6400,0.6684375,0.8329869738168185,0.2546506060683836,0.22106600829969725,promoter_alisim_dense,mc_dropout,pooled
6400,0.72609375,0.5962963677386776,0.19179333129280376,0.13207949398014585,promoter_alisim_dense,conv_epinet,pooled
6400,0.726875,0.605844872903826,0.19506820106481457,0.13536203961004453,promoter_alisim_dense,laplace,pooled
6400,0.72609375,0.6555688055072073,0.20292590076884687,0.15970532893345116,promoter_alisim_dense,ensemble_k5,pooled
6400,0.71578125,0.6667503984803376,0.20721528880901777,0.16653259209947444,promoter_alisim_dense,ensemble_k3,pooled
