n,accuracy,nll,brier,ece_15bin,dataset,method,stratum
1584,0.8794191919191919,0.29002560483897816,0.08871656752277549,0.029828332146427418,aleatoric_boundary,base,pooled
1584,0.8794191919191919,0.2851036951940288,0.08774900472791675,0.015389374944575988,aleatoric_boundary,base_scaled,pooled
1584,0.8592171717171717,0.3250293976748009,0.10094722728621025,0.02141959861892721,aleatoric_boundary,mc_dropout,pooled
1584,0.8775252525252525,0.2906928048124479,0.08932637603331857,0.00903606465980699,aleatoric_boundary,conv_epinet,pooled
1584,0.8781565656565656,0.29233169100420475,0.0894677385967661,0.014633052568905737,aleatoric_boundary,laplace,pooled
1584,0.8813131313131313,0.28320290852838653,0.08707985532165867,0.027839048671782857,aleatoric_boundary,ensemble_k5,pooled
1584,0.8781565656565656,0.28473565007718676,0.08765621117799859,0.028913454351903765,aleatoric_boundary,ensemble_k3,pooled
1584,0.8693181818181818,0.3356301009751933,0.09881930754350823,0.07482103598576065,aleatoric_boundary,evidential,pooled
1584,0.8383838383838383,0.4214481452666026,0.12156046643479725,0.07131127377807321,aleatoric_boundary,cnn_mc_dropout,pooled
1584,0.8636363636363636,0.32511451413365017,0.0957677672214055,0.0317359641155817,aleatoric_boundary,cnn_ensemble,pooled
1584,0.8421717171717171,0.3753297853571497,0.1159797867971342,0.07244883810886425,aleatoric_boundary,rf,pooled
6400,0.725,0.6575045585632324,0.20201781248634446,0.15785051267594102,promoter_alisim_dense,base,pooled
6400,0.725,0.6097452044487,0.1954992086155647,0.1409135051164776,promoter_alisim_dense,base_scaled,pooled
6400,0.6684375,0.8329869738168185,0.2546506060683836,0.22106600829969725,promoter_alisim_dense,mc_dropout,pooled
6400,0.72609375,0.5962963677386776,0.19179333129280376,0.13207949398014585,promoter_alisim_dense,conv_epinet,pooled
6400,0.726875,0.605844872903826,0.19506820106481457,0.13536203961004453,promoter_alisim_dense,laplace,pooled
6400,0.72609375,0.6555688055072073,0.20292590076884687,0.15970532893345116,promoter_alisim_dense,ensemble_k5,pooled
6400,0.71578125,0.6667503984803376,0.20721528880901777,0.16653259209947444,promoter_alisim_dense,ensemble_k3,pooled
6400,0.7103125,0.5901813066950402,0.19993294112531707,0.09977046197861186,promoter_alisim_dense,evidential,pooled
6400,0.7584375,0.5928551109858627,0.1800574964617568,0.1165218204481123,promoter_alisim_dense,cnn_mc_dropout,pooled
6400,0.7575,0.550026382920701,0.16997731874867752,0.09811258787196937,promoter_alisim_dense,cnn_ensemble,pooled
6400,0.7784375,0.46363004874964275,0.15159880434372844,0.06268475584015662,promoter_alisim_dense,rf,pooled
