n,accuracy,nll,brier,ece_15bin,dataset,method,stratum
396,0.6742424242424242,0.6197966509505021,0.2143968962418314,0.053162295484181624,aleatoric_boundary,base,Q1
396,0.8737373737373737,0.38586233089958644,0.11070858867252586,0.05759842109142081,aleatoric_boundary,base,Q2
396,0.9772727272727273,0.11032301329757037,0.022247943112009526,0.0066391441176146815,aleatoric_boundary,base,Q3
396,0.9924242424242424,0.044120424208253683,0.0075128420647351535,0.0019134678924926929,aleatoric_boundary,base,Q4
396,0.6742424242424242,0.6155210540308345,0.21290831545671443,0.035531584496089376,aleatoric_boundary,base_scaled,Q1
396,0.8737373737373737,0.37110826914062306,0.10833442844503187,0.033764610901666346,aleatoric_boundary,base_scaled,Q2
396,0.9772727272727273,0.10925866074942842,0.022237722206416923,0.0042880247013373785,aleatoric_boundary,base_scaled,Q3
396,0.9924242424242424,0.04452679685522941,0.0075155528035038026,0.0034506709181147954,aleatoric_boundary,base_scaled,Q4
396,0.6060606060606061,0.7286672452724191,0.25619158130726605,0.12491591158750949,aleatoric_boundary,mc_dropout,Q1
396,0.8611111111111112,0.3978910800089665,0.11477909470482388,0.05645324233573561,aleatoric_boundary,mc_dropout,Q2
396,0.9772727272727273,0.12839340031301166,0.0252849901659506,0.03045956755898477,aleatoric_boundary,mc_dropout,Q3
396,0.9924242424242424,0.04516586863800452,0.007533244454095777,0.000561042987570648,aleatoric_boundary,mc_dropout,Q4
396,0.6666666666666666,0.623671252647688,0.2163674412098763,0.02983955492371267,aleatoric_boundary,conv_epinet,Q1
396,0.8737373737373737,0.3852774256068512,0.11097338488332414,0.03073084067651976,aleatoric_boundary,conv_epinet,Q2
396,0.9772727272727273,0.10890989791089589,0.022407706315889665,0.014206691469578408,aleatoric_boundary,conv_epinet,Q3
396,0.9924242424242424,0.04491274681529875,0.007557023308109459,0.0035899832465501663,aleatoric_boundary,conv_epinet,Q4
396,0.6691919191919192,0.6283314815377765,0.21757946760669902,0.03610325318596717,aleatoric_boundary,laplace,Q1
396,0.8737373737373737,0.3809377094853631,0.10990788386075089,0.02608623734275866,aleatoric_boundary,laplace,Q2
396,0.9772727272727273,0.1151428936381426,0.022861238634317545,0.017873344873809895,aleatoric_boundary,laplace,Q3
396,0.9924242424242424,0.04491466644214715,0.007522358115609253,0.010962994519275071,aleatoric_boundary,laplace,Q4
396,0.6818181818181818,0.6126432445091726,0.21098442129470865,0.0663696203188098,aleatoric_boundary,ensemble_k5,Q1
396,0.8737373737373737,0.36782244596041763,0.10762734448184587,0.04635378567148646,aleatoric_boundary,ensemble_k5,Q2
396,0.9772727272727273,0.10820636166213903,0.022194353689006477,0.005674506634001153,aleatoric_boundary,ensemble_k5,Q3
396,0.9924242424242424,0.044139475122045836,0.007513248689897532,0.001499940535519828,aleatoric_boundary,ensemble_k5,Q4
396,0.6666666666666666,0.6194299004426824,0.2140358133249646,0.06109132891878765,aleatoric_boundary,ensemble_k3,Q1
396,0.8762626262626263,0.3660525879288154,0.10683250850303312,0.04983795388016452,aleatoric_boundary,ensemble_k3,Q2
396,0.9772727272727273,0.10935726661009665,0.022243682872022746,0.00524916827550858,aleatoric_boundary,ensemble_k3,Q3
396,0.9924242424242424,0.044102830460220024,0.0075128328805539185,0.0014477904877737702,aleatoric_boundary,ensemble_k3,Q4
400,0.88,0.25661709904670715,0.08175946909998942,0.03627624318003655,promoter_alisim_dense,base,0.0
400,0.8675,0.26863348484039307,0.08607038973672348,0.052484963238239264,promoter_alisim_dense,base,0.01
400,0.89,0.25532636046409607,0.08048614946579541,0.03423400416970252,promoter_alisim_dense,base,0.02
400,0.8675,0.2723001539707184,0.08667016956656003,0.036347608119249364,promoter_alisim_dense,base,0.05
400,0.855,0.31045642495155334,0.09774736404970245,0.046773407608270645,promoter_alisim_dense,base,0.1
400,0.8625,0.328738808631897,0.10169552270619725,0.05361512929201129,promoter_alisim_dense,base,0.15
400,0.8275,0.41438302397727966,0.12780176343081845,0.06988799989223479,promoter_alisim_dense,base,0.2
400,0.7825,0.546078085899353,0.1648058168857243,0.10183179572224617,promoter_alisim_dense,base,0.3
400,0.6925,0.7151461243629456,0.22277997856575593,0.16787459492683413,promoter_alisim_dense,base,0.4
400,0.675,0.8672512769699097,0.2545973473426037,0.20446102753281598,promoter_alisim_dense,base,0.5
400,0.6125,0.8370151519775391,0.26765440399032125,0.24456645876169203,promoter_alisim_dense,base,0.6
400,0.61,0.9155516624450684,0.28277013587797656,0.2550624741613865,promoter_alisim_dense,base,0.8
400,0.565,1.0390021800994873,0.328532847380446,0.31535145342350007,promoter_alisim_dense,base,1.0
400,0.5325,1.1711536645889282,0.35153691927470077,0.3536666025221348,promoter_alisim_dense,base,1.5
400,0.5425,1.1556872129440308,0.3478264984587182,0.32902662724256515,promoter_alisim_dense,base,2.0
400,0.5375,1.166731357574463,0.3495502239494785,0.3276987755298615,promoter_alisim_dense,base,3.0
400,0.88,0.25500237941741943,0.08060533739790095,0.04196764096617701,promoter_alisim_dense,base_scaled,0.0
400,0.8675,0.2655349671840668,0.08460778604528411,0.03936436370015141,promoter_alisim_dense,base_scaled,0.01
400,0.89,0.2545653283596039,0.0797915611395843,0.030216527283191692,promoter_alisim_dense,base_scaled,0.02
400,0.8675,0.2699495255947113,0.08547326287641663,0.03122243627905843,promoter_alisim_dense,base_scaled,0.05
400,0.855,0.3038579821586609,0.09622587229359558,0.03345491766929625,promoter_alisim_dense,base_scaled,0.1
400,0.8625,0.32126566767692566,0.10055023978141056,0.026471141874790164,promoter_alisim_dense,base_scaled,0.15
400,0.8275,0.3975328505039215,0.12544981335048058,0.053233582228422185,promoter_alisim_dense,base_scaled,0.2
400,0.7825,0.5137221813201904,0.1612769851346428,0.08821340858936308,promoter_alisim_dense,base_scaled,0.3
400,0.6925,0.6634373664855957,0.2157073329687716,0.15196281298995015,promoter_alisim_dense,base_scaled,0.4
400,0.675,0.7948918342590332,0.24709469212794016,0.1855683210492134,promoter_alisim_dense,base_scaled,0.5
