n,accuracy,nll,brier,ece_15bin,dataset,method,stratum
396,0.6742424242424242,0.6197966509505021,0.2143968962418314,0.053162295484181624,aleatoric_boundary,base,Q1
396,0.8737373737373737,0.3858623308995865,0.11070858867252586,0.05759842109142081,aleatoric_boundary,base,Q2
396,0.9772727272727273,0.11032301329757037,0.022247943112009526,0.0066391441176146815,aleatoric_boundary,base,Q3
396,0.9924242424242424,0.044120424208253683,0.0075128420647351535,0.0019134678924926929,aleatoric_boundary,base,Q4
396,0.6742424242424242,0.6155210540308345,0.21290831545671443,0.035531584496089376,aleatoric_boundary,base_scaled,Q1
396,0.8737373737373737,0.37110826914062306,0.10833442844503187,0.033764610901666346,aleatoric_boundary,base_scaled,Q2
396,0.9772727272727273,0.10925866074942842,0.022237722206416923,0.0042880247013373785,aleatoric_boundary,base_scaled,Q3
396,0.9924242424242424,0.044526796855229395,0.0075155528035038026,0.0034506709181147954,aleatoric_boundary,base_scaled,Q4
396,0.6060606060606061,0.7286672364628533,0.25619157701742035,0.12491591626923816,aleatoric_boundary,mc_dropout,Q1
396,0.8611111111111112,0.3978910852993918,0.11477909748250388,0.056453246238052646,aleatoric_boundary,mc_dropout,Q2
396,0.9772727272727273,0.12839340031263222,0.025284990190964127,0.030459567774797764,aleatoric_boundary,mc_dropout,Q3
396,0.9924242424242424,0.04516586862432649,0.007533244453952674,0.0005610429768139191,aleatoric_boundary,mc_dropout,Q4
396,0.6717171717171717,0.6242263560609624,0.21593052637711094,0.05339661368626131,aleatoric_boundary,conv_epinet,Q1
396,0.8737373737373737,0.38907094517668334,0.11139648827974168,0.047028595663876196,aleatoric_boundary,conv_epinet,Q2
396,0.9772727272727273,0.11079731348663453,0.022318822915890928,0.0009588680373847636,aleatoric_boundary,conv_epinet,Q3
396,0.9924242424242424,0.036302904528913625,0.0072742990750503285,0.00024163275731470257,aleatoric_boundary,conv_epinet,Q4
396,0.6691919191919192,0.6283314938729385,0.21757947360893728,0.03610326261039781,aleatoric_boundary,laplace,Q1
396,0.8737373737373737,0.3809377102319047,0.10990788404469413,0.026086237309154926,aleatoric_boundary,laplace,Q2
396,0.9772727272727273,0.11514289390083624,0.022861238642220387,0.01787334487558182,aleatoric_boundary,laplace,Q3
396,0.9924242424242424,0.044914666011139436,0.007522358091212623,0.010962994474690846,aleatoric_boundary,laplace,Q4
396,0.6818181818181818,0.6126433501412603,0.21098447433315934,0.06636966327100846,aleatoric_boundary,ensemble_k5,Q1
396,0.8737373737373737,0.36782244618371185,0.10762734453559297,0.04635378549585369,aleatoric_boundary,ensemble_k5,Q2
396,0.9772727272727273,0.10820636260756555,0.022194353727163114,0.005674506594733231,aleatoric_boundary,ensemble_k5,Q3
396,0.9924242424242424,0.04413947518100845,0.007513248690719112,0.0014999405510627284,aleatoric_boundary,ensemble_k5,Q4
396,0.6666666666666666,0.619429911728566,0.2140358196248098,0.06109132617170262,aleatoric_boundary,ensemble_k3,Q1
396,0.8762626262626263,0.3660525906857007,0.10683250930531211,0.049837954671968686,aleatoric_boundary,ensemble_k3,Q2
396,0.9772727272727273,0.10935726726932232,0.022243682899394362,0.00524916825878077,aleatoric_boundary,ensemble_k3,Q3
396,0.9924242424242424,0.04410283062515815,0.00751283288247807,0.0014477904742511427,aleatoric_boundary,ensemble_k3,Q4
396,0.6464646464646465,0.6524643037429774,0.22993660258729118,0.07929747016237404,aleatoric_boundary,evidential,Q1
396,0.8611111111111112,0.3860885825883122,0.11566834432334813,0.056306519964206825,aleatoric_boundary,evidential,Q2
396,0.9772727272727273,0.17482349597290858,0.032287558341086375,0.09763309986937713,aleatoric_boundary,evidential,Q3
396,0.9924242424242424,0.12914402159657512,0.01738472492230718,0.09933810379971508,aleatoric_boundary,evidential,Q4
