comparison,U,p,method
base: shuffled > real,1339989.0,0.0004500666355478261,base
base: random_dna > real,1573331.5,1.5750242122756206e-35,base
base_scaled: shuffled > real,1345685.0,0.00019908491607871734,base_scaled
base_scaled: random_dna > real,1589910.5,4.179948621583267e-39,base_scaled
mc_dropout: shuffled > real,1259568.0,0.42239233774082885,mc_dropout
mc_dropout: random_dna > real,1424323.0,2.1082573497500146e-11,mc_dropout
mc_dropout: shuffled > real,1372580.5,2.257537516990753e-06,mc_dropout
mc_dropout: random_dna > real,1687102.0,1.1246996108482601e-63,mc_dropout
mc_dropout: shuffled > real,1252817.0,0.5265058295241279,mc_dropout
mc_dropout: random_dna > real,1415166.0,2.1804962961315802e-10,mc_dropout
conv_epinet: shuffled > real,1329142.0,0.0018740261319715671,conv_epinet
conv_epinet: random_dna > real,1594722.0,3.546421142665704e-40,conv_epinet
conv_epinet: shuffled > real,1290415.5,0.08163519809191927,conv_epinet
conv_epinet: random_dna > real,1631150.0,8.88357102587345e-49,conv_epinet
conv_epinet: shuffled > real,1338015.0,0.0005907150938147265,conv_epinet
conv_epinet: random_dna > real,1596225.0,1.6293827243868508e-40,conv_epinet
laplace: shuffled > real,1338978.0,0.0005176813013080435,laplace
laplace: random_dna > real,1582097.0,2.1323890316834144e-37,laplace
laplace: shuffled > real,1372096.0,2.4699768376739195e-06,laplace
laplace: random_dna > real,1608199.5,2.940387792674263e-43,laplace
laplace: shuffled > real,1337978.0,0.0005937024808688101,laplace
laplace: random_dna > real,1581952.0,2.291823921567077e-37,laplace
conformal: shuffled > real,634392.0,0.15425159098056312,conformal
conformal: random_dna > real,621324.0,0.8263517832425062,conformal
evidential: shuffled > real,1317414.5,0.0072823202676533605,evidential
evidential: random_dna > real,1634401.0,1.3769128536046296e-49,evidential
