method,variant,n,accuracy,U_total_mean,U_total_std,U_epistemic_mean,U_epistemic_std,U_aleatoric_mean,U_aleatoric_std,set_size_mean,set_size_std,vacuity_mean,vacuity_std
base,real,1584,0.8724747474747475,0.34964042396585676,0.325233623075633,,,,,,,,
base,shuffled,1584,0.6830808080808081,0.39881927762980185,0.3442339905300293,,,,,,,,
base,random_dna,1584,0.5006313131313131,0.44391060591383713,0.29273536027416014,,,,,,,,
base_scaled,real,1584,0.8787878787878788,0.31618405828332397,0.32208639442219805,,,,,,,,
base_scaled,shuffled,1584,0.6881313131313131,0.37131724598572935,0.3465245204772988,,,,,,,,
base_scaled,random_dna,1584,0.5006313131313131,0.4121117612060084,0.29555504092044094,,,,,,,,
mc_dropout,real,1584,0.8762626262626263,0.38982359983375053,0.33104622894720886,,,,,,,,
mc_dropout,shuffled,1584,0.6521464646464646,0.4008620733823251,0.33945212975950034,,,,,,,,
mc_dropout,random_dna,1584,0.49936868686868685,0.4041478346699303,0.24330860139539878,,,,,,,,
mc_dropout,real,1584,0.8762626262626263,,,0.011917169738486185,0.02102012436237371,,,,,,
mc_dropout,shuffled,1584,0.6521464646464646,,,0.0158468134239084,0.0232997669691672,,,,,,
mc_dropout,random_dna,1584,0.49936868686868685,,,0.016460393021552222,0.021109740597843794,,,,,,
mc_dropout,real,1584,0.8762626262626263,,,,,0.3779064297248054,0.317657241062513,,,,
mc_dropout,shuffled,1584,0.6521464646464646,,,,,0.3850152606798355,0.3225414083308022,,,,
mc_dropout,random_dna,1584,0.49936868686868685,,,,,0.38768744070525046,0.23127001635027292,,,,
conv_epinet,real,1584,0.8762626262626263,0.426284384196436,0.32898334590660194,,,,,,,,
conv_epinet,shuffled,1584,0.663510101010101,0.4658982363750575,0.3400981017378091,,,,,,,,
conv_epinet,random_dna,1584,0.4936868686868687,0.5558475724661328,0.27890670534358897,,,,,,,,
conv_epinet,real,1584,0.8762626262626263,,,0.07331923364116011,0.07705427857072361,,,,,,
conv_epinet,shuffled,1584,0.663510101010101,,,0.0768718625926836,0.07498047487123259,,,,,,
conv_epinet,random_dna,1584,0.4936868686868687,,,0.09945629700116408,0.06574637932532708,,,,,,
conv_epinet,real,1584,0.8762626262626263,,,,,0.3529651497721183,0.26791614378027934,,,,
conv_epinet,shuffled,1584,0.663510101010101,,,,,0.38902637382705857,0.27654658676396415,,,,
conv_epinet,random_dna,1584,0.4936868686868687,,,,,0.45639127518774736,0.22156162439188037,,,,
laplace,real,1584,0.8743686868686869,0.3512468531850086,0.32688055505107216,,,,,,,,
laplace,shuffled,1584,0.6792929292929293,0.40006505318145935,0.3431028196373335,,,,,,,,
laplace,random_dna,1584,0.5025252525252525,0.44854597558239195,0.2905072102901716,,,,,,,,
laplace,real,1584,0.8743686868686869,,,0.001641794655654968,0.0013310007094535267,,,,,,
laplace,shuffled,1584,0.6792929292929293,,,0.0019526924877183516,0.0016318091307981107,,,,,,
laplace,random_dna,1584,0.5025252525252525,,,0.0022177950172636435,0.0013916272306223932,,,,,,
laplace,real,1584,0.8743686868686869,,,,,0.34960505848214257,0.3257609022788043,,,,
laplace,shuffled,1584,0.6792929292929293,,,,,0.39811236085605367,0.34182884807968994,,,,
laplace,random_dna,1584,0.5025252525252525,,,,,0.4463281807856578,0.28935506655425164,,,,
conformal,real,792,0.8661616161616161,,,,,,,1.063131332397461,0.24335266649723053,,
conformal,shuffled,1584,0.6837121212121212,,,,,,,1.0744949579238892,0.2626575827598572,,
conformal,random_dna,1584,0.5037878787878788,,,,,,,1.053661584854126,0.22541989386081696,,
evidential,real,1584,0.8731060606060606,,,,,,,,,0.23722361174007559,0.15988569537265884
evidential,shuffled,1584,0.7272727272727273,,,,,,,,,0.2452348293454358,0.15572911142514892
evidential,random_dna,1584,0.4930555555555556,,,,,,,,,0.26823601292239296,0.14096424410896172
