rate,sampling,accuracy,bald_U_epistemic_mean,bald_U_aleatoric_mean,var_U_epistemic_mean,var_U_aleatoric_mean
r00,mc_dropout,0.8383838534355164,0.06091214343905449,0.2507413327693939,0.05435959994792938,0.20783807337284088
r00,ensemble,0.8636363744735718,0.1056799367070198,0.24239453673362732,0.10269244015216827,0.20145125687122345
r05,mc_dropout,0.8194444179534912,0.07791855186223984,0.4090430438518524,0.07406633347272873,0.34581753611564636
r05,ensemble,0.8636363744735718,0.11720621585845947,0.36486566066741943,0.11404577642679214,0.30178338289260864
r10,mc_dropout,0.8282828330993652,0.0654754564166069,0.437007874250412,0.06125861406326294,0.3696126341819763
r10,ensemble,0.8535353541374207,0.1174963042140007,0.45176368951797485,0.11560393124818802,0.3799158036708832
r20,mc_dropout,0.7556818127632141,0.08449839800596237,0.6194043755531311,0.08889787644147873,0.551752507686615
r20,ensemble,0.8327020406723022,0.1146382987499237,0.6472906470298767,0.12457054108381271,0.5773178935050964
r40,mc_dropout,0.6319444179534912,0.0956312045454979,0.7331953048706055,0.10867941379547119,0.6753937602043152
r40,ensemble,0.7310606241226196,0.1065284013748169,0.8353465795516968,0.13047784566879272,0.7919744849205017
