rate,seed,accuracy,laplace_fit_n,bald_U_epistemic_mean,bald_U_epistemic_std,bald_U_aleatoric_mean,bald_U_aleatoric_std,var_U_epistemic_mean,var_U_epistemic_std,var_U_aleatoric_mean,var_U_aleatoric_std
r00,1,0.8705808080808081,2048,0.0441875085234642,0.027458373457193375,0.3906961679458618,0.2914864122867584,0.03138885647058487,0.032795656472444534,0.3341476619243622,0.29110386967658997
r00,2,0.8768939393939394,2048,0.040130365639925,0.024790480732917786,0.37386608123779297,0.2925080358982086,0.02657926455140114,0.029328608885407448,0.3182280659675598,0.29284465312957764
r00,3,0.8775252525252525,2048,0.041078172624111176,0.02978973276913166,0.3761464059352875,0.29046568274497986,0.029243187978863716,0.03519023582339287,0.3189314305782318,0.2916853427886963
r05,1,0.8832070707070707,2048,0.036450572311878204,0.020910989493131638,0.5030409693717957,0.240051731467247,0.02903764508664608,0.02779834344983101,0.4284480810165405,0.25935646891593933
r05,2,0.8705808080808081,2048,0.03548401594161987,0.01613277569413185,0.5076468586921692,0.2334168255329132,0.02681371197104454,0.02328067645430565,0.43256455659866333,0.252297967672348
r05,3,0.8674242424242424,2048,0.03401954099535942,0.01773926243185997,0.5335172414779663,0.228131964802742,0.026991406455636024,0.024256912991404533,0.4575233459472656,0.24958032369613647
r10,1,0.875,2048,0.03430618718266487,0.016021521762013435,0.6194199323654175,0.18498924374580383,0.0300117339938879,0.021109534427523613,0.5429970622062683,0.21092252433300018
r10,2,0.8800505050505051,2048,0.03361685946583748,0.016754671931266785,0.6108429431915283,0.17302745580673218,0.029391665011644363,0.023461315780878067,0.5318759083747864,0.19767913222312927
r10,3,0.8674242424242424,2048,0.03205657750368118,0.015124093741178513,0.6231676936149597,0.18772146105766296,0.028654461726546288,0.020928338170051575,0.546635627746582,0.21498161554336548
r20,1,0.8636363636363636,2048,0.030266480520367622,0.01248115859925747,0.7849997878074646,0.10713708400726318,0.03281107172369957,0.016893787309527397,0.7264541387557983,0.13199134171009064
r20,2,0.8718434343434344,2048,0.03307676687836647,0.01745326817035675,0.7698774933815002,0.09716474264860153,0.03574483469128609,0.024262821301817894,0.7076902389526367,0.11945686489343643
r20,3,0.8529040404040404,2048,0.033943358808755875,0.0128489313647151,0.8204711079597473,0.09503712505102158,0.038599949330091476,0.01714833825826645,0.7697228193283081,0.11796978116035461
r40,1,0.8327020202020202,2048,0.03094438649713993,0.014170316979289055,0.9461104273796082,0.022414622828364372,0.04081664979457855,0.01858244277536869,0.9276849627494812,0.02937169559299946
r40,2,0.8320707070707071,2048,0.03170501068234444,0.012729142792522907,0.9487470388412476,0.020729295909404755,0.04196276143193245,0.016762537881731987,0.9311711192131042,0.0271758995950222
r40,3,0.8345959595959596,2048,0.031050745397806168,0.011623880825936794,0.9461827874183655,0.021465623751282692,0.040965791791677475,0.015328203327953815,0.9277738332748413,0.028106002137064934
