method,decomp,score,variant,n,mean,std
mc_dropout,bald,bald_U_epistemic,real,1584,0.011941189952947275,0.021555096487566858
mc_dropout,bald,bald_U_epistemic,shuffled,1584,0.01598360685142901,0.023372743816486966
mc_dropout,bald,bald_U_epistemic,random_dna,1584,0.01562658813789845,0.01889177676056537
mc_dropout,bald,bald_U_aleatoric,real,1584,0.37846574177636266,0.31768874240730743
mc_dropout,bald,bald_U_aleatoric,shuffled,1584,0.3841967100413949,0.32147525030961954
mc_dropout,bald,bald_U_aleatoric,random_dna,1584,0.387480487252087,0.2321263782265515
mc_dropout,var,var_U_epistemic,real,1584,0.012232717888222038,0.02562773746691112
mc_dropout,var,var_U_epistemic,shuffled,1584,0.016010643356779902,0.027897347250592845
mc_dropout,var,var_U_epistemic,random_dna,1584,0.011687244568548678,0.01965219465774173
mc_dropout,var,var_U_aleatoric,real,1584,0.318320729693332,0.31924628464541804
mc_dropout,var,var_U_aleatoric,shuffled,1584,0.3258863490679292,0.32127748216698876
mc_dropout,var,var_U_aleatoric,random_dna,1584,0.30871294042086134,0.2327354294238919
conv_epinet,bald,bald_U_epistemic,real,1584,0.08172075466530379,0.07763697320951127
conv_epinet,bald,bald_U_epistemic,shuffled,1584,0.08904736331867459,0.07952693331525026
conv_epinet,bald,bald_U_epistemic,random_dna,1584,0.10050004220454756,0.06768522400759235
conv_epinet,bald,bald_U_aleatoric,real,1584,0.35366536408775684,0.25862449115867914
conv_epinet,bald,bald_U_aleatoric,shuffled,1584,0.3922821156506549,0.27205311164717727
conv_epinet,bald,bald_U_aleatoric,random_dna,1584,0.4522533509574567,0.2213281143096253
conv_epinet,var,var_U_epistemic,real,1584,0.07326610427980766,0.09325181461564376
conv_epinet,var,var_U_epistemic,shuffled,1584,0.08481845232198784,0.09747392630904937
conv_epinet,var,var_U_epistemic,random_dna,1584,0.09047469257886331,0.08655753405887677
conv_epinet,var,var_U_aleatoric,real,1584,0.2976778915135491,0.25176948064876986
conv_epinet,var,var_U_aleatoric,shuffled,1584,0.33544676806519014,0.26664890902000143
conv_epinet,var,var_U_aleatoric,random_dna,1584,0.3873215049265348,0.22178828774770984
