method,score,variant,n,mean,std
cnn_mc_dropout,bald_U_epistemic,real,1584,0.06091215,0.08327569
cnn_mc_dropout,bald_U_epistemic,shuffled,1584,0.073002785,0.08911042
cnn_mc_dropout,bald_U_epistemic,random_dna,1584,0.12319657,0.094774894
cnn_mc_dropout,bald_U_aleatoric,real,1584,0.25074136,0.25990462
cnn_mc_dropout,bald_U_aleatoric,shuffled,1584,0.29546523,0.26737803
cnn_mc_dropout,bald_U_aleatoric,random_dna,1584,0.47288156,0.25053838
cnn_mc_dropout,var_U_epistemic,real,1584,0.0543596,0.09444742
cnn_mc_dropout,var_U_epistemic,shuffled,1584,0.066967145,0.10235354
cnn_mc_dropout,var_U_epistemic,random_dna,1584,0.122696355,0.11593405
cnn_mc_dropout,var_U_aleatoric,real,1584,0.20783807,0.24132326
cnn_mc_dropout,var_U_aleatoric,shuffled,1584,0.24750948,0.25183773
cnn_mc_dropout,var_U_aleatoric,random_dna,1584,0.41231474,0.2469989
cnn_ensemble,bald_U_epistemic,real,1584,0.105679944,0.15512584
cnn_ensemble,bald_U_epistemic,shuffled,1584,0.11851979,0.15867303
cnn_ensemble,bald_U_epistemic,random_dna,1584,0.19022858,0.17201383
cnn_ensemble,bald_U_aleatoric,real,1584,0.24239454,0.24452242
cnn_ensemble,bald_U_aleatoric,shuffled,1584,0.26542047,0.23878339
cnn_ensemble,bald_U_aleatoric,random_dna,1584,0.41004804,0.21276242
cnn_ensemble,var_U_epistemic,real,1584,0.10269244,0.17095198
cnn_ensemble,var_U_epistemic,shuffled,1584,0.114796974,0.17572437
cnn_ensemble,var_U_epistemic,random_dna,1584,0.19258499,0.1994265
cnn_ensemble,var_U_aleatoric,real,1584,0.20145126,0.22499195
cnn_ensemble,var_U_aleatoric,shuffled,1584,0.22045973,0.22212896
cnn_ensemble,var_U_aleatoric,random_dna,1584,0.3482749,0.20706715
