method,score,variant,n,mean,std
ensemble,bald_U_epistemic,real,1584,0.013103130568390728,0.02576009911596892
ensemble,bald_U_epistemic,shuffled,1584,0.018171317432244326,0.02917979690297545
ensemble,bald_U_epistemic,random_dna,1584,0.021555141755282357,0.030800720382037638
ensemble,bald_U_aleatoric,real,1584,0.34736612426455726,0.31663698791687767
ensemble,bald_U_aleatoric,shuffled,1584,0.37612609640516415,0.31946554063757604
ensemble,bald_U_aleatoric,random_dna,1584,0.4128668772296585,0.25655180516618986
ensemble,var_U_epistemic,real,1584,0.012957154065804262,0.02992821371790764
ensemble,var_U_epistemic,shuffled,1584,0.017549046467407882,0.03419076900870144
ensemble,var_U_epistemic,random_dna,1584,0.01828749306651153,0.03583383643643839
ensemble,var_U_aleatoric,real,1584,0.29094240036581387,0.31549143712710986
ensemble,var_U_aleatoric,shuffled,1584,0.31897864108340757,0.31827800954367785
ensemble,var_U_aleatoric,random_dna,1584,0.33887578654714456,0.2604158179631876
