method,score,variant,n,mean,std
ensemble,bald_U_epistemic,real,1584,0.01136257454177539,0.028557098746928036
ensemble,bald_U_epistemic,shuffled,1584,0.013248566812778662,0.026239228412075863
ensemble,bald_U_epistemic,random_dna,1584,0.015485727540215537,0.02550709327135114
ensemble,bald_U_aleatoric,real,1584,0.34982897163218246,0.3165550252035896
ensemble,bald_U_aleatoric,shuffled,1584,0.38130551771580645,0.3298915218791643
ensemble,bald_U_aleatoric,random_dna,1584,0.4088133046605784,0.25887044845788604
ensemble,var_U_epistemic,real,1584,0.011421265431652538,0.03310978868179485
ensemble,var_U_epistemic,shuffled,1584,0.013093397515754838,0.0303933500045105
ensemble,var_U_epistemic,random_dna,1584,0.012613208845499425,0.028278563109009724
ensemble,var_U_aleatoric,real,1584,0.2925424709177642,0.3158623610742456
ensemble,var_U_aleatoric,shuffled,1584,0.32545062949330633,0.32935843792285746
ensemble,var_U_aleatoric,random_dna,1584,0.3341878790483631,0.2627841228010412
