method,score,spearman_rho,spearman_p,n
cnn_ensemble,U_epistemic,0.22407889322370333,1.1910216441132191e-73,6400
cnn_ensemble,U_aleatoric,0.24649307536924203,3.311722797638547e-89,6400
cnn_mc_dropout,U_epistemic,0.2691255247284035,1.29517999681908e-106,6400
cnn_mc_dropout,U_aleatoric,0.2872642766588382,7.678078942329814e-122,6400
conv_epinet,U_epistemic,0.12197529621162596,1.2101864017464188e-22,6400
conv_epinet,U_aleatoric,0.14304464942986717,1.3111893619211103e-30,6400
ensemble_k3,U_epistemic,0.12913717732911115,3.3105875638183275e-25,6400
ensemble_k3,U_aleatoric,0.13036025002230903,1.1678552599499618e-25,6400
ensemble_k5,U_epistemic,0.19069804074912586,1.7864923059110204e-53,6400
ensemble_k5,U_aleatoric,0.1429533760544953,1.4287693392146289e-30,6400
evidential,U_epistemic,0.03601094882368281,0.003961042878188429,6400
evidential,U_aleatoric,0.030765791353976415,0.013840941425116594,6400
laplace,U_epistemic,0.14708268624405813,2.774071653906917e-32,6400
laplace,U_aleatoric,0.13773360082799824,1.767213379667148e-28,6400
mc_dropout,U_epistemic,0.034928794689226376,0.005196228736798056,6400
mc_dropout,U_aleatoric,-0.07835961161954949,3.447295305776234e-10,6400
rf_kmer,U_epistemic,0.5625180820901792,0.0,6400
rf_kmer,U_aleatoric,0.17944725755665897,1.8588611664798328e-47,6400
